Version,Set,Item1,Item2,Item3,Item4
9,13,5,4,8,10
9,14,6,11,5,9
10,1,11,14,10,16
10,2,12,17,15,11
10,3,1,13,12,16
10,4,2,13,17,14
10,5,14,1,15,3
10,6,16,4,2,15
10,7,16,5,3,17
10,8,1,6,4,17
10,9,7,1,5,2
10,10,6,8,3,2
10,11,9,3,4,7
10,12,5,8,10,4
10,13,9,5,6,11
10,14,6,10,7,12
11,1,12,15,17,11
11,2,16,1,12,13
11,3,14,2,13,17
11,4,14,3,15,1
11,5,16,15,2,4
11,6,3,5,16,17
11,7,4,6,1,17
11,8,5,1,2,7
11,9,6,2,3,8
11,10,3,9,4,7
11,11,10,8,4,5
11,12,9,11,5,6
11,13,7,6,10,12
11,14,8,11,13,7
12,1,12,13,1,16
12,2,2,14,17,13
12,3,3,1,15,14
12,4,16,4,15,2
12,5,3,17,16,5
12,6,6,17,1,4
12,7,1,2,7,5
12,8,3,8,6,2
12,9,7,4,9,3
12,10,8,10,4,5
12,11,11,6,9,5
12,12,12,10,6,7
12,13,7,13,8,11
12,14,14,12,9,8
13,1,14,17,13,2
13,2,15,3,1,14
13,3,4,2,15,16
13,4,17,5,16,3
13,5,6,1,4,17
13,6,2,5,7,1
13,7,3,6,8,2
13,8,7,9,4,3
13,9,4,10,8,5
13,10,11,9,6,5
13,11,7,10,6,12
13,12,11,8,7,13
13,13,9,8,12,14
13,14,10,9,15,13
14,1,3,15,1,14
14,2,2,15,4,16
14,3,5,17,16,3
14,4,6,4,1,17
14,5,5,1,2,7
14,6,6,8,2,3
14,7,4,7,3,9
14,8,8,4,5,10
14,9,5,6,11,9
14,10,12,6,10,7
14,11,13,8,11,7
14,12,9,8,14,12
14,13,15,9,13,10
14,14,11,10,16,14
15,1,4,16,2,15
15,2,5,3,16,17
15,3,6,4,1,17
15,4,1,7,5,2
15,5,2,3,6,8
15,6,3,4,9,7
15,7,5,10,8,4
15,8,11,5,6,9
15,9,10,12,7,6
15,10,13,7,8,11
15,11,12,14,8,9
15,12,10,9,13,15
15,13,10,16,11,14
15,14,11,17,15,12
16,1,16,3,17,5
16,2,4,6,17,1
16,3,5,2,1,7
16,4,3,2,8,6
16,5,9,4,3,7
16,6,4,10,5,8
16,7,9,11,5,6
16,8,10,12,7,6
16,9,7,13,11,8
16,10,12,9,8,14
16,11,10,15,9,13
16,12,11,14,10,16
16,13,11,15,17,12
16,14,12,16,1,13
17,1,1,6,4,17
17,2,5,7,1,2
17,3,3,2,6,8
17,4,4,9,3,7
17,5,4,5,8,10
17,6,11,5,9,6
17,7,10,6,12,7
17,8,7,11,13,8
17,9,9,12,8,14
17,10,13,15,10,9
17,11,10,11,14,16
17,12,17,11,15,12
17,13,13,16,12,1
17,14,2,13,17,14
18,1,8,9,3,1
18,2,2,4,9,10
18,3,10,5,11,3
18,4,6,11,4,12
18,5,13,7,12,5
18,6,8,13,14,6
18,7,7,14,9,15
18,8,15,8,16,10
18,9,9,11,17,16
18,10,12,17,1,10
18,11,2,1,13,11
18,12,12,14,3,2
18,13,15,13,4,3
18,14,14,16,5,4
19,1,2,10,9,4
19,2,11,10,5,3
19,3,11,6,4,12
19,4,7,5,12,13
19,5,8,14,6,13
19,6,7,15,9,14
19,7,15,16,8,10
19,8,11,9,16,17
19,9,1,12,10,17
19,10,13,1,2,11
19,11,3,2,14,12
19,12,4,15,13,3
19,13,4,16,5,14
19,14,15,5,17,6
20,1,11,5,10,3
20,2,11,6,4,12
20,3,12,13,5,7
20,4,13,6,14,8
20,5,15,7,14,9
20,6,8,15,16,10
20,7,11,17,9,16
20,8,1,17,10,12
20,9,1,2,13,11
20,10,12,14,3,2
20,11,4,15,3,13
20,12,4,14,5,16
20,13,5,15,17,6
20,14,1,7,6,16
21,1,11,6,12,4
21,2,7,13,5,12
21,3,14,8,13,6
21,4,9,7,14,15
21,5,10,8,16,15
21,6,17,11,9,16
21,7,12,10,1,17
21,8,1,13,2,11
21,9,2,12,3,14
21,10,3,4,15,13
21,11,14,16,5,4
21,12,6,5,15,17
21,13,7,6,1,16
21,14,17,2,7,8
22,1,7,5,12,13
22,2,8,13,14,6
22,3,15,14,7,9
22,4,15,16,8,10
22,5,16,11,17,9
22,6,1,10,17,12
22,7,1,11,2,13
22,8,2,14,3,12
22,9,4,13,15,3
22,10,16,14,5,4
22,11,17,5,6,15
22,12,7,6,16,1
22,13,17,8,7,2
22,14,8,9,1,3
23,1,14,13,6,8
23,2,14,15,9,7
23,3,16,8,10,15
23,4,11,17,16,9
23,5,12,10,1,17
23,6,2,11,1,13
23,7,3,12,2,14
23,8,3,4,15,13
23,9,4,5,14,16
23,10,5,15,6,17
23,11,7,1,6,16
23,12,17,7,2,8
23,13,1,9,8,3
23,14,4,10,9,2
24,1,9,15,14,7
24,2,10,15,16,8
24,3,16,11,17,9
24,4,12,17,10,1
24,5,11,13,2,1
24,6,3,12,2,14
24,7,4,3,15,13
24,8,16,14,4,5
24,9,15,17,6,5
24,10,16,1,6,7
24,11,7,2,17,8
24,12,3,9,1,8
24,13,10,4,9,2
24,14,3,10,11,5
25,1,15,8,16,10
25,2,11,17,16,9
25,3,17,1,10,12
25,4,1,2,13,11
25,5,14,3,12,2
25,6,3,13,15,4
25,7,5,4,16,14
25,8,17,5,15,6
25,9,7,16,6,1
25,10,17,7,2,8
25,11,8,3,1,9
25,12,9,2,4,10
25,13,10,11,3,5
25,14,4,11,6,12
26,1,17,16,11,9
26,2,1,10,17,12
26,3,11,2,1,13
26,4,3,2,14,12
26,5,3,15,4,13
26,6,16,14,4,5
26,7,15,5,6,17
26,8,7,1,16,6
26,9,8,2,7,17
26,10,3,8,1,9
26,11,10,2,9,4
26,12,10,3,5,11
26,13,12,4,6,11
26,14,12,7,13,5
27,1,17,1,12,10
27,2,11,13,2,1
27,3,14,12,2,3
27,4,4,13,15,3
27,5,5,14,16,4
27,6,17,6,5,15
27,7,16,7,1,6
27,8,7,8,2,17
27,9,8,3,9,1
27,10,2,9,4,10
27,11,5,3,11,10
27,12,6,11,4,12
27,13,12,7,5,13
27,14,14,8,13,6
28,1,13,11,1,2
28,2,2,3,12,14
28,3,15,13,3,4
28,4,5,16,4,14
28,5,5,6,17,15
28,6,16,1,6,7
28,7,17,7,2,8
28,8,3,8,9,1
28,9,10,4,9,2
28,10,11,3,10,5
28,11,12,11,6,4
28,12,5,7,12,13
28,13,13,6,8,14
28,14,14,9,15,7
29,1,3,12,2,14
29,2,15,3,4,13
29,3,4,5,14,16
29,4,17,6,15,5
29,5,16,7,1,6
29,6,17,7,2,8
29,7,3,8,9,1
29,8,2,4,9,10
29,9,10,11,3,5
29,10,4,11,12,6
29,11,7,13,5,12
29,12,6,13,8,14
29,13,14,7,15,9
29,14,8,16,10,15
30,1,13,3,15,4
30,2,16,4,5,14
30,3,5,15,17,6
30,4,16,1,7,6
30,5,17,7,8,2
30,6,1,9,3,8
30,7,4,9,2,10
30,8,5,3,11,10
30,9,4,12,6,11
30,10,13,5,12,7
30,11,6,8,13,14
30,12,9,14,7,15
30,13,8,16,10,15
30,14,17,16,11,9
31,1,5,4,14,16
31,2,15,5,6,17
31,3,16,6,1,7
31,4,8,17,7,2
31,5,3,9,8,1
31,6,9,4,10,2
31,7,5,11,10,3
31,8,6,12,11,4
31,9,12,7,5,13
31,10,13,8,6,14
31,11,9,14,15,7
31,12,10,16,15,8
31,13,9,17,11,16
31,14,10,1,17,12
32,1,6,17,15,5
32,2,1,7,16,6
32,3,7,17,8,2
32,4,9,1,3,8
32,5,2,9,10,4
32,6,3,5,10,11
32,7,4,6,12,11
32,8,13,7,12,5
32,9,8,6,14,13
32,10,7,14,15,9
32,11,10,8,16,15
32,12,17,11,16,9
32,13,12,17,10,1
32,14,2,11,1,13
33,1,16,1,6,7
33,2,7,2,8,17
33,3,3,8,1,9
33,4,2,10,4,9
33,5,5,3,11,10
33,6,4,11,12,6
33,7,7,13,12,5
33,8,14,6,8,13
33,9,7,15,14,9
33,10,15,16,8,10
33,11,16,11,9,17
33,12,1,12,17,10
33,13,1,13,11,2
33,14,14,12,2,3
34,1,17,7,8,2
34,2,1,8,3,9
34,3,2,9,4,10
34,4,3,10,5,11
34,5,11,12,4,6
34,6,12,5,7,13
34,7,13,6,8,14
34,8,15,14,9,7
34,9,15,16,8,10
34,10,17,16,9,11
34,11,10,12,1,17
34,12,13,1,2,11
34,13,3,12,14,2
34,14,13,3,4,15
35,1,1,4,12,5
35,2,2,13,6,5
35,3,3,6,7,14
35,4,4,7,8,15
35,5,9,5,16,8
35,6,6,10,9,17
35,7,7,11,10,1
35,8,2,11,8,12
35,9,12,9,3,13
35,10,4,10,14,13
35,11,14,5,15,11
35,12,16,12,15,6
35,13,17,13,7,16
35,14,14,8,17,1
36,1,6,5,2,13
36,2,7,6,3,14
36,3,4,15,7,8
36,4,16,9,8,5
36,5,10,6,9,17
36,6,1,11,7,10
36,7,12,8,11,2
36,8,13,9,12,3
36,9,13,10,4,14
36,10,14,15,11,5
36,11,16,6,15,12
36,12,17,7,13,16
36,13,8,14,1,17
36,14,2,15,9,1
37,1,6,3,14,7
37,2,7,8,4,15
37,3,9,5,16,8
37,4,9,10,17,6
37,5,7,11,10,1
37,6,8,11,12,2
37,7,12,13,3,9
37,8,14,10,13,4
37,9,15,14,5,11
37,10,16,15,12,6
37,11,17,13,7,16
37,12,14,8,17,1
37,13,1,9,15,2
37,14,2,10,16,3
38,1,8,7,15,4
38,2,16,8,9,5
38,3,9,10,6,17
38,4,11,1,7,10
38,5,8,12,11,2
38,6,9,13,3,12
38,7,14,13,10,4
38,8,11,15,14,5
38,9,16,15,12,6
38,10,13,17,16,7
38,11,17,8,1,14
38,12,1,9,2,15
38,13,2,3,16,10
38,14,17,3,11,4
39,1,9,16,8,5
39,2,6,17,10,9
39,3,1,11,10,7
39,4,8,11,12,2
39,5,9,13,3,12
39,6,10,13,14,4
39,7,15,11,14,5
39,8,12,15,6,16
39,9,16,7,17,13
39,10,17,1,8,14
39,11,1,15,9,2
39,12,16,10,2,3
39,13,11,17,4,3
39,14,1,5,12,4
40,1,9,6,17,10
40,2,11,1,10,7
40,3,2,12,8,11
40,4,12,13,9,3
40,5,4,10,14,13
40,6,11,14,15,5
40,7,12,15,16,6
40,8,16,17,13,7
40,9,14,1,8,17
40,10,15,2,1,9
40,11,16,2,10,3
40,12,3,17,11,4
40,13,5,12,1,4
40,14,2,6,13,5
41,1,7,10,1,11
41,2,12,2,11,8
41,3,12,13,9,3
41,4,4,13,14,10
41,5,11,14,15,5
41,6,12,16,6,15
41,7,17,7,16,13
41,8,8,17,1,14
41,9,2,9,15,1
41,10,16,3,2,10
41,11,17,11,4,3
41,12,5,4,12,1
41,13,6,13,5,2
41,14,3,6,7,14
42,1,2,12,11,8
42,2,3,13,9,12
42,3,14,4,13,10
42,4,5,11,15,14
42,5,16,15,6,12
42,6,17,13,7,16
42,7,8,14,1,17
42,8,1,2,9,15
42,9,10,2,16,3
42,10,3,11,17,4
42,11,5,1,4,12
42,12,6,13,2,5
42,13,6,7,14,3
42,14,4,7,15,8
43,1,9,3,13,12
43,2,13,14,4,10
43,3,15,14,11,5
43,4,16,15,6,12
43,5,7,16,17,13
43,6,8,17,1,14
43,7,2,15,1,9
43,8,16,3,10,2
43,9,11,17,3,4
43,10,1,4,5,12
43,11,2,6,13,5
43,12,7,3,6,14
43,13,15,7,4,8
43,14,16,9,5,8
44,1,13,10,4,14
44,2,11,15,14,5
44,3,12,6,15,16
44,4,13,16,7,17
44,5,1,8,14,17
44,6,15,1,2,9
44,7,10,2,16,3
44,8,3,4,11,17
44,9,12,4,1,5
44,10,5,2,13,6
44,11,6,3,14,7
44,12,7,4,8,15
44,13,9,5,16,8
44,14,10,17,9,6
45,1,15,11,5,14
45,2,12,6,15,16
45,3,16,7,17,13
45,4,1,8,14,17
45,5,1,2,9,15
45,6,3,16,10,2
45,7,17,3,4,11
45,8,5,12,1,4
45,9,5,2,13,6
45,10,3,14,7,6
45,11,8,15,7,4
45,12,5,16,8,9
45,13,9,6,10,17
45,14,7,1,11,10
46,1,15,6,16,12
46,2,16,7,13,17
46,3,8,1,14,17
46,4,2,15,9,1
46,5,3,2,10,16
46,6,17,11,3,4
46,7,1,5,12,4
46,8,13,5,2,6
46,9,6,14,7,3
46,10,8,4,7,15
46,11,9,8,16,5
46,12,9,17,10,6
46,13,1,11,7,10
46,14,2,12,11,8
47,1,17,13,7,16
47,2,17,1,14,8
47,3,9,2,15,1
47,4,16,3,2,10
47,5,11,4,17,3
47,6,4,12,1,5
47,7,2,13,6,5
47,8,3,14,7,6
47,9,7,15,4,8
47,10,8,16,9,5
47,11,10,9,17,6
47,12,11,7,1,10
47,13,12,2,8,11
47,14,13,9,12,3
48,1,8,17,1,14
48,2,1,15,2,9
48,3,16,2,3,10
48,4,4,17,11,3
48,5,5,4,12,1
48,6,6,2,5,13
48,7,3,7,6,14
48,8,4,8,15,7
48,9,16,9,5,8
48,10,9,6,17,10
48,11,7,10,1,11
48,12,12,2,8,11
48,13,9,13,12,3
48,14,14,10,13,4
49,1,2,15,9,1
49,2,16,2,10,3
49,3,4,17,3,11
49,4,5,1,12,4
49,5,6,5,2,13
49,6,7,14,6,3
49,7,4,7,15,8
49,8,8,16,5,9
49,9,9,6,17,10
49,10,7,11,1,10
49,11,12,8,2,11
49,12,3,9,12,13
49,13,13,10,14,4
49,14,15,14,11,5
50,1,3,2,10,16
50,2,11,4,3,17
50,3,4,1,12,5
50,4,5,6,13,2
50,5,3,14,6,7
50,6,7,15,8,4
50,7,5,8,16,9
50,8,9,17,6,10
50,9,7,11,10,1
50,10,12,11,2,8
50,11,9,12,13,3
50,12,14,13,10,4
50,13,5,15,11,14
50,14,6,12,15,16
51,1,3,11,17,4
51,2,1,5,4,12
51,3,2,5,13,6
51,4,14,7,3,6
51,5,4,7,15,8
51,6,9,8,5,16
51,7,10,17,9,6
51,8,7,11,1,10
51,9,2,8,11,12
51,10,3,12,13,9
51,11,14,4,13,10
51,12,11,14,5,15
51,13,6,12,15,16
51,14,7,16,13,17
52,1,4,1,14,6
52,2,15,5,7,2
52,3,6,8,3,16
52,4,9,7,17,4
52,5,8,5,1,10
52,6,9,11,6,2
52,7,7,12,10,3
52,8,13,8,4,11
52,9,12,14,5,9
52,10,10,15,13,6
52,11,11,7,16,14
52,12,15,17,8,12
52,13,16,1,13,9
52,14,2,17,14,10
53,1,7,5,15,2
53,2,8,6,3,16
53,3,17,4,7,9
53,4,5,1,8,10
53,5,11,6,9,2
53,6,3,12,10,7
53,7,13,4,11,8
53,8,5,14,9,12
53,9,15,10,6,13
53,10,14,16,11,7
53,11,8,17,12,15
53,12,13,16,9,1
53,13,17,14,2,10
53,14,3,11,15,1
54,1,3,16,6,8
54,2,7,4,9,17
54,3,10,8,5,1
54,4,6,11,2,9
54,5,7,10,3,12
54,6,13,11,8,4
54,7,5,14,9,12
54,8,6,13,15,10
54,9,16,14,7,11
54,10,15,8,17,12
54,11,1,13,16,9
54,12,10,14,2,17
54,13,3,15,1,11
54,14,4,16,2,12
55,1,9,17,4,7
55,2,10,8,5,1
55,3,6,9,11,2
55,4,10,12,3,7
55,5,8,4,11,13
55,6,9,5,14,12
55,7,10,6,15,13
55,8,14,16,11,7
55,9,15,12,17,8
55,10,13,1,16,9
55,11,2,17,14,10
55,12,3,1,15,11
55,13,4,12,2,16
55,14,13,5,3,17
56,1,10,1,8,5
56,2,2,6,11,9
56,3,3,7,12,10
56,4,8,4,13,11
56,5,14,12,5,9
56,6,15,10,6,13
56,7,14,16,11,7
56,8,12,8,15,17
56,9,13,1,16,9
56,10,10,2,17,14
56,11,1,11,3,15
56,12,12,4,16,2
56,13,3,13,5,17
56,14,1,14,4,6
57,1,9,6,2,11
57,2,10,7,3,12
57,3,11,8,4,13
57,4,5,14,9,12
57,5,6,15,10,13
57,6,7,11,14,16
57,7,12,17,8,15
57,8,1,9,16,13
57,9,14,17,2,10
57,10,1,3,11,15
57,11,16,2,12,4
57,12,5,17,13,3
57,13,4,6,1,14
57,14,7,5,15,2
58,1,10,3,7,12
58,2,4,13,8,11
58,3,14,9,12,5
58,4,10,6,15,13
58,5,11,14,16,7
58,6,15,17,12,8
58,7,16,1,13,9
58,8,14,2,10,17
58,9,1,15,11,3
58,10,12,4,2,16
58,11,3,5,17,13
58,12,1,6,4,14
58,13,5,7,15,2
58,14,16,3,8,6
59,1,4,13,11,8
59,2,9,12,5,14
59,3,6,13,10,15
59,4,14,16,7,11
59,5,8,12,17,15
59,6,16,1,13,9
59,7,17,2,10,14
59,8,3,11,1,15
59,9,4,12,2,16
59,10,5,17,13,3
59,11,14,4,6,1
59,12,15,2,5,7
59,13,16,8,6,3
59,14,17,9,4,7
60,1,12,5,14,9
60,2,6,10,15,13
60,3,16,7,14,11
60,4,8,17,15,12
60,5,13,16,1,9
60,6,14,2,17,10
60,7,15,11,1,3
60,8,4,16,12,2
60,9,3,5,13,17
60,10,4,1,14,6
60,11,2,7,5,15
60,12,3,16,8,6
60,13,9,7,4,17
60,14,1,8,5,10
61,1,15,13,10,6
61,2,11,7,16,14
61,3,8,12,17,15
61,4,16,13,1,9
61,5,17,10,14,2
61,6,11,1,15,3
61,7,12,16,2,4
61,8,13,3,5,17
61,9,14,6,1,4
61,10,2,15,5,7
61,11,16,3,8,6
61,12,4,9,7,17
61,13,1,5,10,8
61,14,2,9,11,6
62,1,16,7,14,11
62,2,15,8,17,12
62,3,1,9,13,16
62,4,2,17,14,10
62,5,3,11,15,1
62,6,16,4,2,12
62,7,5,3,17,13
62,8,1,6,4,14
62,9,2,15,7,5
62,10,6,16,3,8
62,11,4,9,7,17
62,12,10,1,5,8
62,13,2,11,9,6
62,14,7,10,3,12
63,1,12,8,15,17
63,2,16,13,9,1
63,3,2,17,14,10
63,4,11,3,1,15
63,5,12,4,16,2
63,6,5,3,13,17
63,7,1,6,4,14
63,8,2,7,15,5
63,9,6,3,16,8
63,10,4,9,17,7
63,11,1,5,10,8
63,12,6,2,9,11
63,13,10,7,3,12
63,14,4,8,11,13
64,1,9,16,1,13
64,2,14,17,10,2
64,3,11,15,3,1
64,4,4,16,2,12
64,5,13,3,5,17
64,6,1,14,4,6
64,7,5,15,7,2
64,8,16,3,8,6
64,9,7,17,4,9
64,10,8,10,5,1
64,11,9,11,2,6
64,12,10,7,12,3
64,13,11,8,13,4
64,14,9,12,5,14
65,1,2,10,14,17
65,2,15,11,3,1
65,3,2,16,4,12
65,4,3,5,13,17
65,5,4,14,1,6
65,6,5,2,7,15
65,7,3,6,16,8
65,8,9,4,17,7
65,9,10,1,8,5
65,10,2,9,6,11
65,11,10,7,12,3
65,12,4,11,8,13
65,13,14,12,5,9
65,14,15,13,6,10
66,1,15,1,11,3
66,2,4,2,12,16
66,3,13,5,17,3
66,4,6,4,1,14
66,5,2,5,7,15
66,6,6,16,3,8
66,7,7,9,17,4
66,8,1,8,5,10
66,9,6,9,2,11
66,10,7,12,10,3
66,11,13,4,8,11
66,12,14,9,12,5
66,13,6,10,15,13
66,14,16,14,11,7
67,1,2,12,4,16
67,2,17,13,5,3
67,3,14,6,1,4
67,4,7,5,15,2
67,5,6,16,3,8
67,6,9,17,7,4
67,7,5,1,10,8
67,8,9,11,6,2
67,9,10,7,3,12
67,10,13,4,8,11
67,11,12,14,5,9
67,12,6,15,10,13
67,13,7,14,11,16
67,14,15,12,17,8
68,1,17,13,5,3
68,2,14,6,4,1
68,3,7,15,5,2
68,4,3,16,6,8
68,5,4,17,7,9
68,6,8,10,1,5
68,7,9,11,2,6
68,8,7,10,12,3
68,9,13,8,11,4
68,10,9,12,5,14
68,11,15,10,6,13
68,12,14,16,11,7
68,13,8,17,15,12
68,14,16,1,9,13
69,1,2,7,5,1
69,2,8,2,6,3
69,3,4,9,7,3
69,4,5,10,8,4
69,5,11,5,9,6
69,6,12,10,7,6
69,7,11,8,7,13
69,8,14,12,9,8
69,9,13,9,15,10
69,10,10,16,11,14
69,11,11,17,15,12
69,12,12,1,13,16
69,13,17,2,14,13
69,14,3,14,15,1
70,1,6,2,3,8
70,2,3,9,4,7
70,3,10,8,5,4
70,4,11,9,6,5
70,5,10,6,12,7
70,6,8,7,13,11
70,7,8,9,14,12
70,8,15,13,9,10
70,9,11,14,16,10
70,10,17,12,11,15
70,11,13,16,1,12
70,12,17,2,13,14
70,13,1,15,3,14
70,14,15,2,16,4
71,1,7,4,9,3
71,2,4,10,8,5
71,3,6,5,11,9
71,4,10,6,7,12
71,5,8,13,11,7
71,6,14,8,12,9
71,7,13,9,15,10
71,8,16,14,10,11
71,9,12,17,15,11
71,10,13,12,16,1
71,11,14,17,2,13
71,12,14,3,1,15
71,13,4,2,16,15
71,14,5,3,17,16
72,1,4,5,8,10
72,2,11,9,6,5
72,3,7,12,6,10
72,4,13,7,11,8
72,5,12,9,8,14
72,6,10,15,13,9
72,7,14,10,11,16
72,8,15,11,12,17
72,9,1,16,13,12
72,10,14,13,17,2
72,11,15,14,3,1
72,12,4,16,2,15
72,13,17,5,16,3
72,14,1,4,6,17
73,1,11,9,6,5
73,2,7,10,12,6
73,3,7,11,8,13
73,4,14,12,8,9
73,5,10,13,15,9
73,6,10,16,14,11
73,7,15,11,17,12
73,8,13,12,16,1
73,9,13,14,2,17
73,10,15,1,3,14
73,11,4,16,15,2
73,12,16,5,17,3
73,13,17,1,6,4
73,14,7,2,1,5
74,1,7,6,12,10
74,2,11,7,8,13
74,3,14,12,9,8
74,4,10,15,13,9
74,5,11,14,10,16
74,6,15,12,17,11
74,7,12,13,16,1
74,8,2,17,14,13
74,9,1,14,15,3
74,10,16,2,4,15
74,11,5,16,17,3
74,12,1,6,4,17
74,13,5,7,1,2
74,14,2,8,3,6
75,1,7,13,8,11
75,2,14,9,12,8
75,3,9,13,10,15
75,4,14,11,10,16
75,5,15,11,12,17
75,6,1,16,13,12
75,7,2,17,13,14
75,8,1,3,14,15
75,9,2,15,16,4
75,10,17,3,5,16
75,11,17,4,6,1
75,12,7,2,1,5
75,13,2,6,3,8
75,14,3,9,7,4
76,1,12,9,14,8
76,2,9,15,10,13
76,3,10,16,11,14
76,4,17,15,12,11
76,5,1,16,13,12
76,6,2,17,13,14
76,7,3,15,1,14
76,8,2,16,4,15
76,9,5,3,17,16
76,10,1,4,17,6
76,11,2,5,1,7
76,12,6,2,8,3
76,13,4,9,3,7
76,14,8,5,4,10
77,1,15,13,9,10
77,2,14,11,10,16
77,3,17,15,12,11
77,4,16,12,13,1
77,5,14,17,2,13
77,6,14,15,3,1
77,7,2,16,4,15
77,8,16,17,5,3
77,9,1,6,4,17
77,10,2,1,5,7
77,11,2,3,8,6
77,12,9,3,4,7
77,13,5,4,10,8
77,14,11,6,5,9
78,1,11,16,10,14
78,2,15,17,12,11
78,3,13,16,1,12
78,4,14,2,17,13
78,5,15,14,3,1
78,6,2,4,16,15
78,7,3,5,17,16
78,8,1,4,6,17
78,9,5,2,7,1
78,10,8,3,6,2
78,11,9,7,3,4
78,12,5,8,4,10
78,13,5,6,9,11
78,14,10,7,12,6
79,1,17,15,12,11
79,2,1,12,16,13
79,3,13,17,14,2
79,4,3,14,15,1
79,5,15,16,4,2
79,6,16,5,3,17
79,7,1,17,6,4
79,8,1,7,5,2
79,9,6,3,8,2
79,10,4,7,3,9
79,11,5,10,8,4
79,12,11,5,6,9
79,13,7,12,6,10
79,14,13,8,11,7
80,1,16,13,1,12
80,2,14,13,2,17
80,3,15,1,14,3
80,4,2,16,15,4
80,5,5,3,16,17
80,6,6,17,4,1
80,7,1,7,5,2
80,8,6,8,2,3
80,9,7,9,3,4
80,10,8,5,4,10
80,11,5,6,9,11
80,12,7,6,10,12
80,13,7,13,8,11
80,14,9,8,12,14
81,1,13,14,17,2
81,2,14,3,15,1
81,3,4,15,2,16
81,4,3,17,16,5
81,5,17,1,4,6
81,6,5,1,7,2
81,7,3,6,2,8
81,8,4,9,3,7
81,9,5,4,8,10
81,10,9,6,5,11
81,11,12,10,6,7
81,12,7,11,8,13
81,13,14,12,8,9
81,14,10,9,13,15
82,1,1,14,15,3
82,2,2,16,4,15
82,3,17,16,3,5
82,4,6,4,17,1
82,5,5,1,7,2
82,6,2,6,8,3
82,7,9,7,4,3
82,8,8,5,4,10
82,9,6,11,5,9
82,10,6,12,7,10
82,11,7,11,13,8
82,12,14,8,12,9
82,13,10,15,13,9
82,14,16,11,10,14
83,1,16,15,2,4
83,2,17,5,3,16
83,3,1,4,17,6
83,4,7,2,5,1
83,5,6,2,3,8
83,6,4,3,9,7
83,7,4,10,5,8
83,8,9,6,5,11
83,9,10,7,12,6
83,10,8,11,13,7
83,11,12,9,14,8
83,12,13,10,9,15
83,13,11,14,10,16
83,14,17,12,15,11
84,1,5,17,16,3
